Label,Degree,PageRank,Eigenvector Centrality
Steven Sande,436,0.10108031185913323,1.0
Yoni Heisler,200,0.03468468782481957,0.45871559633027525
Mike Wehner,271,0.04903338843824247,0.6215596330275229
TJ Luoma,20,0.004354729348174166,0.045871559633027525
Chris Rawson,97,0.013545938130596298,0.22247706422018348
Kelly Hodgkins,317,0.05556156331208258,0.7270642201834863
Dave Caolo,79,0.010605796208271599,0.1811926605504587
John-Michael Bond,170,0.02697802259815131,0.38990825688073394
Michael Rose,91,0.012594811148623052,0.20871559633027523
Melissa Davis,0,0.0,0.0
Jessica Buchanan,0,0.0,0.0
Andy J. Williams Affleck,0,0.0,0.0
Regina Lizik,0,0.0,0.0
George Tinari,0,0.0,0.0
Mike Schramm,227,0.03783423195296563,0.5206422018348624
Ben Waldie,6,0.002111975135813131,0.013761467889908258
Michael Grothaus,144,0.019111780137474124,0.3302752293577982
Megan Lavey-Heaton,103,0.015946531704558547,0.23623853211009174
Shawn Boyd,3,0.0011626536420511163,0.006880733944954129
Matt Tinsley,24,0.004543082225582639,0.05504587155963303
Chelsea Taylor,0,0.0,0.0
Randy Nelson,78,0.00999652809109118,0.17889908256880735
Erica Sadun,190,0.03341532824486851,0.43577981651376146
"Victor Agreda, Jr.",86,0.01339561402366995,0.19724770642201836
Victor Agreda Jr,0,0.0,0.0
Kelly Guimont,9,0.002068454071992514,0.020642201834862386
Jason Roberts,0,0.0,0.0
Randy Murray,0,0.0,0.0
Mel Martin,116,0.017466433375313617,0.26605504587155965
Ross Rubin,0,0.0,0.0
Rick Martin,0,0.0,0.0
Chris Ward,0,0.0,0.0
Scott McNulty,0,0.0,0.0
David Chartier,0,0.0,0.0
Ilene Hoffman,20,0.0029897114071161896,0.045871559633027525
Robert Palmer,0,0.0,0.0
Brett Terpstra,0,0.0,0.0
Keith M,0,0.0,0.0
David Quilty,0,0.0,0.0
Michael Jones,0,0.0,0.0
Fabienne Serriere,0,0.0,0.0
Richard Gaywood,0,0.0,0.0
Joachim Bean,0,0.0,0.0
Mat Lu,0,0.0,0.0
David Winograd,0,0.0,0.0
Sang Tang,0,0.0,0.0
Aron Trimble,0,0.0,0.0
"C.K. Sample, III",0,0.0,0.0
Josh Carr,0,0.0,0.0
Cory Bohon,0,0.0,0.0
Brett Kelly,0,0.0,0.0
John Emmert,0,0.0,0.0
Chad Hensley,0,0.0,0.0
Sam Abuelsamid,0,0.0,0.0
Christina Warren,0,0.0,0.0
Kent Pribbernow,0,0.0,0.0
Josh Helfferich,0,0.0,0.0
Dan Lurie,0,0.0,0.0
Nik Fletcher,0,0.0,0.0
Dana Franklin,0,0.0,0.0
Jan Kabili,0,0.0,0.0
Conrad Quilty-Harper,0,0.0,0.0
Dan Pourhadi,0,0.0,0.0
Ken Ray,0,0.0,0.0
Samuel Gibbs,0,0.0,0.0
John Burke,0,0.0,0.0
Chris Ullrich,0,0.0,0.0
Jason McCabe Calacanis,0,0.0,0.0
Laurie A. Duncan,0,0.0,0.0
Justin Esgar,0,0.0,0.0
Kevin Harter,0,0.0,0.0
Ask TUAW,0,0.0,0.0
Joshua Ellis,0,0.0,0.0
Alberto Escarlate,0,0.0,0.0
Jason Clarke,0,0.0,0.0
Joshua Brickner,0,0.0,0.0
Chris White,0,0.0,0.0
Casey Johnston,0,0.0,0.0
Tim Wasson,0,0.0,0.0
Damien Barrett,0,0.0,0.0
Lauren Hirsch,0,0.0,0.0
Matthew Levie,0,0.0,0.0
Chancey Fleet,0,0.0,0.0
Michael Gray,0,0.0,0.0
Brian Liloia,0,0.0,0.0
Dan Fellini,0,0.0,0.0
Lisa Hoover,0,0.0,0.0
Todd Ritter,0,0.0,0.0
Giles Turnbull,0,0.0,0.0
TUAW Blogger,0,0.0,0.0
Sebastian Blanco,0,0.0,0.0
"Weblogs, Inc.",0,0.0,0.0
Jay Savage,0,0.0,0.0
Michael Terretta,0,0.0,0.0
Barb Dybwad,0,0.0,0.0
Matthew David,0,0.0,0.0
Caine Lee,0,0.0,0.0
